sample_name	gtdb_family
GCA_009996365.1	Microcystaceae
GCA_009996455.1	Microcystaceae
GCA_020244565.1	Microcystaceae
GCA_020244665.1	Microcystaceae
GCA_020244905.1	Microcystaceae
GCA_020245145.1	Microcystaceae
GCA_020245945.1	Microcystaceae
GCA_020245965.1	Microcystaceae
GCA_020246425.1	Microcystaceae
GCA_020246485.1	Microcystaceae
GCA_020246545.1	Microcystaceae
GCA_020246905.1	Microcystaceae
GCA_020246945.1	Microcystaceae
GCF_000297435.1	Microcystaceae
GCF_000307995.1	Microcystaceae
GCF_000312205.1	Microcystaceae
GCF_000312225.1	Microcystaceae
GCF_003007785.1	Microcystaceae
GCF_003019735.1	Microcystaceae
GCF_009811855.1	Microcystaceae
GCF_009811875.1	Microcystaceae
GCA_005697215.1	Nanosynbacteraceae
GCA_905372835.1	Nanosynbacteraceae
GCA_005697395.1	Nanosynbacteraceae
GCA_943914885.1	Nanosynbacteraceae
GCF_022819345.1	Nanosynbacteraceae
GCA_016866755.1	Nanosynbacteraceae
GCA_007845265.1	Nanosynbacteraceae
GCA_007845345.1	Nanosynbacteraceae
GCA_010202115.1	Nanosynbacteraceae
GCA_010202465.1	Nanosynbacteraceae
GCA_010202845.1	Nanosynbacteraceae
GCA_013098515.1	Nanosynbacteraceae
GCA_013099015.1	Nanosynbacteraceae
GCA_013099195.1	Nanosynbacteraceae
GCA_013100805.1	Nanosynbacteraceae
GCA_013100825.1	Nanosynbacteraceae
GCA_013100845.1	Nanosynbacteraceae
GCA_013333495.2	Nanosynbacteraceae
GCA_013333695.2	Nanosynbacteraceae
GCA_013394755.1	Nanosynbacteraceae
GCA_015257495.1	Nanosynbacteraceae
GCA_015257635.1	Nanosynbacteraceae
GCA_015257705.1	Nanosynbacteraceae
GCA_020912025.1	Nanosynbacteraceae
GCA_024330325.1	Nanosynbacteraceae
GCF_000803625.1	Nanosynbacteraceae
GCF_005697565.1	Nanosynbacteraceae
GCF_021222645.1	Nanosynbacteraceae
GCF_022819365.1	Nanosynbacteraceae
GCF_022819385.1	Nanosynbacteraceae
GCF_022828245.1	Nanosynbacteraceae
GCF_022828255.1	Nanosynbacteraceae
GCF_022828285.1	Nanosynbacteraceae
GCF_022828295.1	Nanosynbacteraceae
GCF_022828325.1	Nanosynbacteraceae
GCF_022828375.1	Nanosynbacteraceae
GCA_001438055.1	Pelagibacteraceae
GCA_902596205.1	Pelagibacteraceae
GCA_001704065.1	Pelagibacteraceae
GCA_002169755.1	Pelagibacteraceae
GCA_902577995.1	Pelagibacteraceae
GCA_002457515.1	Pelagibacteraceae
GCA_902594705.1	Pelagibacteraceae
GCA_002692325.1	Pelagibacteraceae
GCA_009693705.1	Pelagibacteraceae
GCA_010020895.1	Pelagibacteraceae
GCA_010020985.1	Pelagibacteraceae
GCA_010021025.1	Pelagibacteraceae
GCA_010026855.1	Pelagibacteraceae
GCA_010028665.1	Pelagibacteraceae
GCA_014653735.1	Pelagibacteraceae
GCA_014653775.1	Pelagibacteraceae
GCA_014653865.1	Pelagibacteraceae
GCA_014653975.1	Pelagibacteraceae
GCA_014654245.1	Pelagibacteraceae
GCA_014654455.1	Pelagibacteraceae
GCA_016778715.1	Pelagibacteraceae
GCA_016882225.1	Pelagibacteraceae
GCA_017640265.1	Pelagibacteraceae
GCA_018646085.1	Pelagibacteraceae
GCA_022451585.1	Pelagibacteraceae
GCF_000012345.1	Pelagibacteraceae
GCF_000155895.1	Pelagibacteraceae
GCF_000472585.1	Pelagibacteraceae
GCF_001179845.1	Pelagibacteraceae
GCF_001179965.1	Pelagibacteraceae
GCF_001179985.1	Pelagibacteraceae
GCF_001180025.1	Pelagibacteraceae
GCF_001180085.1	Pelagibacteraceae
GCF_002688585.1	Pelagibacteraceae
GCF_012932795.1	Pelagibacteraceae
GCF_900177485.1	Pelagibacteraceae
GCA_000739315.1	Rhizobiaceae
GCA_002864985.1	Rhizobiaceae
GCA_004017145.1	Rhizobiaceae
GCA_004020865.1	Rhizobiaceae
GCA_018815445.1	Rhizobiaceae
GCF_001442755.1	Rhizobiaceae
GCF_003491345.1	Rhizobiaceae
GCF_004002255.1	Rhizobiaceae
GCF_004003555.1	Rhizobiaceae
GCF_004010325.2	Rhizobiaceae
GCF_004329805.1	Rhizobiaceae
GCF_004346285.1	Rhizobiaceae
GCF_004791755.1	Rhizobiaceae
GCF_006442375.1	Rhizobiaceae
GCF_006506965.1	Rhizobiaceae
GCF_009601195.1	Rhizobiaceae
GCF_009601285.1	Rhizobiaceae
GCF_013317515.1	Rhizobiaceae
GCF_013318965.1	Rhizobiaceae
GCF_013319065.1	Rhizobiaceae
GCF_013320405.1	Rhizobiaceae
GCF_013320775.1	Rhizobiaceae
GCF_014192095.1	Rhizobiaceae
GCF_014495725.1	Rhizobiaceae
GCF_014841565.1	Rhizobiaceae
GCF_019684635.1	Rhizobiaceae
GCF_019793435.1	Rhizobiaceae
GCF_019793465.1	Rhizobiaceae
GCF_019798545.1	Rhizobiaceae
GCF_020165735.1	Rhizobiaceae
GCF_021052665.1	Rhizobiaceae
GCF_021168455.1	Rhizobiaceae
GCF_021560425.1	Rhizobiaceae
GCF_023651075.1	Rhizobiaceae
GCF_900011755.1	Rhizobiaceae
GCF_900176465.1	Rhizobiaceae
GCA_001314805.1	Rhodobacteraceae
GCA_002699695.2	Rhodobacteraceae
GCA_002709085.1	Rhodobacteraceae
GCA_002841115.1	Rhodobacteraceae
GCA_003217735.2	Rhodobacteraceae
GCA_902625475.1	Rhodobacteraceae
GCF_900112545.1	Rhodobacteraceae
GCA_009843215.1	Rhodobacteraceae
GCA_010022585.1	Rhodobacteraceae
GCA_011050135.1	Rhodobacteraceae
GCA_012840325.1	Rhodobacteraceae
GCA_014763725.1	Rhodobacteraceae
GCA_000153745.1	Rhodobacteraceae
GCA_018652295.1	Rhodobacteraceae
GCA_018662625.1	Rhodobacteraceae
GCA_019454835.1	Rhodobacteraceae
GCA_025141015.1	Rhodobacteraceae
GCF_000161835.1	Rhodobacteraceae
GCF_000299875.1	Rhodobacteraceae
GCF_000511385.1	Rhodobacteraceae
GCF_001482405.1	Rhodobacteraceae
GCF_002020305.1	Rhodobacteraceae
GCF_002381365.1	Rhodobacteraceae
GCF_002786285.1	Rhodobacteraceae
GCF_002844445.1	Rhodobacteraceae
GCF_003054195.1	Rhodobacteraceae
GCF_003072125.1	Rhodobacteraceae
GCF_003352065.1	Rhodobacteraceae
GCF_004000255.1	Rhodobacteraceae
GCF_016813475.1	Rhodobacteraceae
GCF_018860625.1	Rhodobacteraceae
GCF_900115815.1	Rhodobacteraceae
GCF_900156505.1	Rhodobacteraceae
GCF_900184815.1	Rhodobacteraceae
GCF_900207575.1	Rhodobacteraceae
GCF_900302495.1	Rhodobacteraceae
GCF_000214555.1	Streptococcaceae
GCF_000229885.1	Streptococcaceae
GCF_000257495.1	Streptococcaceae
GCF_000937315.1	Streptococcaceae
GCF_001016545.1	Streptococcaceae
GCF_001115985.1	Streptococcaceae
GCF_001135845.1	Streptococcaceae
GCF_001146805.1	Streptococcaceae
GCF_001159305.1	Streptococcaceae
GCF_001163245.1	Streptococcaceae
GCF_001164105.1	Streptococcaceae
GCF_001171825.1	Streptococcaceae
GCF_001178285.1	Streptococcaceae
GCF_001201875.1	Streptococcaceae
GCF_001206635.1	Streptococcaceae
GCF_001326535.1	Streptococcaceae
GCF_001337675.1	Streptococcaceae
GCF_001693865.1	Streptococcaceae
GCF_002239245.1	Streptococcaceae
GCF_002441785.1	Streptococcaceae
GCF_009731015.1	Streptococcaceae
GCF_009847455.1	Streptococcaceae
GCF_009870485.1	Streptococcaceae
GCF_009916645.1	Streptococcaceae
GCF_018253635.1	Streptococcaceae
GCF_018419095.1	Streptococcaceae
GCF_020076105.1	Streptococcaceae
GCF_023110015.1	Streptococcaceae
GCF_900008015.1	Streptococcaceae
GCF_900011445.1	Streptococcaceae
GCF_900022755.1	Streptococcaceae
GCF_900024715.1	Streptococcaceae
GCF_900047145.2	Streptococcaceae
GCF_900049345.1	Streptococcaceae
GCF_900054835.1	Streptococcaceae
GCF_900059925.1	Streptococcaceae
GCA_002081495.1	Streptomycetaceae
GCA_022343545.1	Streptomycetaceae
GCF_000253235.1	Streptomycetaceae
GCF_000403765.2	Streptomycetaceae
GCF_000412265.2	Streptomycetaceae
GCF_000717285.1	Streptomycetaceae
GCF_000717345.1	Streptomycetaceae
GCF_000718455.1	Streptomycetaceae
GCF_000720885.1	Streptomycetaceae
GCF_001279425.1	Streptomycetaceae
GCF_001279725.1	Streptomycetaceae
GCF_001279925.1	Streptomycetaceae
GCF_001418395.1	Streptomycetaceae
GCF_001507435.1	Streptomycetaceae
GCF_001513965.1	Streptomycetaceae
GCF_001514195.1	Streptomycetaceae
GCF_001640565.1	Streptomycetaceae
GCF_001886595.1	Streptomycetaceae
GCF_001905525.1	Streptomycetaceae
GCF_001905725.1	Streptomycetaceae
GCF_001941325.1	Streptomycetaceae
GCF_003248335.1	Streptomycetaceae
GCF_003865135.1	Streptomycetaceae
GCF_003950035.1	Streptomycetaceae
GCF_004794175.1	Streptomycetaceae
GCF_009864805.1	Streptomycetaceae
GCF_012034205.1	Streptomycetaceae
GCF_014649415.1	Streptomycetaceae
GCF_014650515.1	Streptomycetaceae
GCF_016612545.1	Streptomycetaceae
GCF_016741875.1	Streptomycetaceae
GCF_019890645.1	Streptomycetaceae
GCF_020092255.1	Streptomycetaceae
GCF_020740835.1	Streptomycetaceae
GCF_900090115.1	Streptomycetaceae
GCF_900215595.1	Streptomycetaceae
